roi,time_ms,t_value,p_value,p_fdr,sig,mean_diff_uV
Frontal ROI,260.0,2.492285176127465,0.03429318665437257,0.20201280541777455,False,5.339398440249624
Frontal ROI,261.0,2.4736197044333696,0.035359657031429535,0.2063615714352409,False,5.301743847585358
Frontal ROI,262.0,2.4501900015225773,0.03674526338627987,0.20941812710392024,False,5.251744596395675
Frontal ROI,263.0,2.4247864844137608,0.03830872645346616,0.21483533795103824,False,5.186211966818527
Frontal ROI,264.0,2.400362809549374,0.0398741602520188,0.2218395741005173,False,5.105123602257201
Frontal ROI,265.0,2.379212537022837,0.04128093931863291,0.22371671498349943,False,5.0124470978422915
Frontal ROI,266.0,2.362455825070706,0.04243028559647711,0.22371671498349943,False,4.915521163511447
Frontal ROI,267.0,2.34991354524157,0.043311217117105706,0.22371671498349943,False,4.823114911204973
Frontal ROI,268.0,2.340356853059514,0.043994555833745404,0.22371671498349943,False,4.74280186241844
Frontal ROI,269.0,2.3320552739346394,0.04459677865169169,0.22371671498349943,False,4.678571721725623
Frontal ROI,270.0,2.3234586594466915,0.04522897326734391,0.22371671498349943,False,4.629532197112189
Frontal ROI,271.0,2.3137566361497584,0.04595307287675045,0.22371671498349943,False,4.590143311469672
Frontal ROI,272.0,2.3030682232175015,0.04676401024577113,0.22371671498349943,False,4.5518512978583505
Frontal ROI,273.0,2.2921888740052956,0.04760389113888549,0.22371671498349943,False,4.505503966182367
Frontal ROI,274.0,2.2820562890622806,0.048399448832590175,0.22371671498349943,False,4.4437375025382595
Frontal ROI,275.0,2.273204400554244,0.04910512911904138,0.22371671498349943,False,4.362650477916607
Frontal ROI,276.0,2.2654042462678996,0.049735326408191206,0.22371671498349943,False,4.262406968906759
Frontal ROI,277.0,2.2575645070854136,0.0503767118386546,0.22371671498349943,False,4.146774800958421
Frontal ROI,278.0,2.2478908173424257,0.05117931547934918,0.22371671498349943,False,4.021879128421508
Frontal ROI,279.0,2.234279209314218,0.05232987554409361,0.22371671498349943,False,3.894590691316908
Frontal ROI,280.0,2.2148770219768417,0.05401372721580335,0.22371671498349943,False,3.7709670991546247
Frontal ROI,281.0,2.1886634351140017,0.05637293315381189,0.2271116444874835,False,3.6550716195894943
Frontal ROI,282.0,2.1558499049691906,0.059467829221423914,0.23096122118237838,False,3.548346490283875
Frontal ROI,283.0,2.1179372338845033,0.0632491771801602,0.2332369234056449,False,3.449582173652517
Frontal ROI,284.0,2.0773863184456056,0.0675507307238721,0.2428362166022274,False,3.355432665614623
Frontal ROI,285.0,2.03700012835419,0.0721139868846221,0.2496829907629672,False,3.261377676322212
Frontal ROI,286.0,1.9992151528872177,0.07664975056588691,0.2569214864659644,False,3.1629800912758883
Frontal ROI,287.0,1.965517864689519,0.08092336354751858,0.2617571141600156,False,3.057184157771983
Frontal ROI,288.0,1.936129439988672,0.08483449271202746,0.2617571141600156,False,2.9432918216502815
Frontal ROI,289.0,1.909999043606294,0.0884617376945693,0.2617571141600156,False,2.8232497582132092
Frontal ROI,290.0,1.885082409452531,0.0920563972588921,0.2617571141600156,False,2.701057443729903
Frontal ROI,291.0,1.8588464054163543,0.09598959877046387,0.2622427795637913,False,2.5814237142769207
Frontal ROI,292.0,1.8288810957591872,0.10067431021634943,0.26896998943435435,False,2.468108843680978
Frontal ROI,293.0,1.7934239938476886,0.10649289311555299,0.2795937006516953,False,2.3625504777059385
Frontal ROI,294.0,1.7516112000430144,0.11375493361267822,0.2899716671363179,False,2.263291540839554
Frontal ROI,295.0,1.7034064995462368,0.12269233999000964,0.30607590865835144,False,2.166432825062251
Frontal ROI,296.0,1.6493032074243066,0.1334852932098429,0.321785561735446,False,2.066949681327315
Frontal ROI,297.0,1.589945826290982,0.14631026049901646,0.3441727939926528,False,1.9604026722227161
Frontal ROI,298.0,1.525810664035576,0.16139897262908673,0.35373680087939186,False,1.8444517204654018
Frontal ROI,299.0,1.4570749777585643,0.17908313703932452,0.35726084841821365,False,1.7196600256311954
Frontal ROI,300.0,1.383769801408593,0.1997806741511266,0.35726084841821365,False,1.589318329931677
Frontal ROI,301.0,1.3061856023660297,0.22388348095771823,0.3731530998127175,False,1.4583620933742916
Frontal ROI,302.0,1.2252616460352466,0.2515739789588983,0.3971922505634859,False,1.331779431217115
Frontal ROI,303.0,1.1425180822865861,0.2827213394942578,0.43367102622642173,False,1.2130695715001778
Frontal ROI,304.0,1.0593058854757698,0.3170610608493872,0.4607761210071285,False,1.1032262557720103
Frontal ROI,305.0,0.9757366817457257,0.3546904365504998,0.49132576594782185,False,1.0004795836382587
Frontal ROI,306.0,0.8900039861186783,0.3966303452821368,0.5255914405345518,False,0.9007826833794143
Frontal ROI,307.0,0.7985437242657419,0.4451151087619245,0.5652639334096179,False,0.7988870988125967
Frontal ROI,308.0,0.6970060865348442,0.5034034734126158,0.6180137212999014,False,0.6897719006193075
Frontal ROI,309.0,0.5818068268390972,0.5749782984309031,0.6762748107383608,False,0.5701224972961751
Frontal ROI,310.0,0.45194238513339624,0.6620055091670147,0.755807592713481,False,0.4394767569479733
Frontal ROI,311.0,0.3104102291422735,0.763317090202701,0.8404801613074735,False,0.3006415880478345
Frontal ROI,312.0,0.16419146886532784,0.8732086926852973,0.927453475109687,False,0.15912382351706258
Frontal ROI,313.0,0.02221933497351933,0.982757821123678,0.9914413159589102,False,0.021641802649021803
Frontal ROI,314.0,-0.10778638488708467,0.9165297920843045,0.958936394404623,False,-0.10583308850378197
Frontal ROI,315.0,-0.2218078662754103,0.8294146485769773,0.8954986994944263,False,-0.21982335251766755
Frontal ROI,316.0,-0.32023200808273167,0.7561021704402228,0.8371454803402172,False,-0.3202583837617764
Frontal ROI,317.0,-0.40697766471203994,0.6935332290194133,0.7828772842876147,False,-0.4102710062823622
Frontal ROI,318.0,-0.4878448557348714,0.6373237202192793,0.7341080585684526,False,-0.49503467754258806
Frontal ROI,319.0,-0.5687685724566457,0.5834252538910714,0.682773126840803,False,-0.5801354860106052
Frontal ROI,320.0,-0.6543921818629904,0.5292250051588494,0.6386481902454574,False,-0.6700637616831397
Frontal ROI,321.0,-0.7471460523348129,0.47404196659651554,0.5895319621346842,False,-0.7672497426120831
Frontal ROI,322.0,-0.8468258567448733,0.41903966869066445,0.5419682799855273,False,-0.8717852464168514
Frontal ROI,323.0,-0.9505947541278877,0.3666378162514311,0.49905458095583144,False,-0.9817265795297212
Frontal ROI,324.0,-1.05346117986592,0.3195894483337377,0.46192206862257756,False,-1.0937614954067783
Frontal ROI,325.0,-1.1494226891669506,0.2800094286570368,0.4332342314251101,False,-1.204035665853419
Frontal ROI,326.0,-1.233236503673333,0.24872554677261322,0.39535796221205116,False,-1.3090001295582332
Frontal ROI,327.0,-1.3021682995959811,0.22519553337735,0.3731963803723932,False,-1.4061814132554358
Frontal ROI,328.0,-1.356798522249887,0.20789676163282647,0.3643390747615284,False,-1.4947691420507156
Frontal ROI,329.0,-1.4005468658195153,0.1948701918360927,0.35726084841821365,False,-1.5758833027599706
Frontal ROI,330.0,-1.4383990413321126,0.18417154537212033,0.35726084841821365,False,-1.6524006638043722
Frontal ROI,331.0,-1.4755153768553746,0.1741795670937771,0.35726084841821365,False,-1.7283118362008794
Frontal ROI,332.0,-1.5160862948494616,0.16380352077619886,0.35549928193224584,False,-1.8077399832248253
Frontal ROI,333.0,-1.5625254674490086,0.15260012607578247,0.3514428187244807,False,-1.8938757516077047
Frontal ROI,334.0,-1.6150414264247097,0.14075839955980401,0.3344801291234665,False,-1.98810954555141
Frontal ROI,335.0,-1.6716559477520168,0.12892555475115774,0.31600284573622933,False,-2.0895741737303952
Frontal ROI,336.0,-1.728722765820818,0.11792118581656628,0.29628226257137263,False,-2.195217457689398
Frontal ROI,337.0,-1.7819043086055975,0.1084495597318417,0.2800070130738656,False,-2.300428049671975
Frontal ROI,338.0,-1.82739752879518,0.1009117078762271,0.26896998943435435,False,-2.4001302252757872
Frontal ROI,339.0,-1.8630354805312752,0.09535118613046414,0.2622427795637913,False,-2.4901200636978857
Frontal ROI,340.0,-1.888870326232057,0.09150119843054004,0.2617571141600156,False,-2.5682813872632706
